route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4466_86720,189,4466_22,Sutton Station,104651084,0,4466_7778022_103107,4466_1
4466_86720,179,4466_220,Sutton Station,104264856,0,4466_7778022_103104,4466_2
4466_86723,182,4466_2200,Ticknock,103932905,1,4466_7778022_101060,4466_32
4466_86741,86,4466_22000,Citywest,103777115,1,4466_7778022_100770,4466_177
4466_86741,190,4466_22001,Citywest,103717115,1,4466_7778022_100770,4466_177
4466_86741,180,4466_22002,Citywest,103811487,1,4466_7778022_101101,4466_175
4466_86741,181,4466_22003,Citywest,103821487,1,4466_7778022_101101,4466_175
4466_86741,182,4466_22004,Citywest,103931487,1,4466_7778022_101101,4466_175
4466_86741,183,4466_22005,Citywest,104041487,1,4466_7778022_101101,4466_175
4466_86741,184,4466_22006,Citywest,104151487,1,4466_7778022_101101,4466_175
4466_86741,185,4466_22007,Citywest,104311487,1,4466_7778022_101101,4466_175
4466_86741,186,4466_22008,Citywest,104321487,1,4466_7778022_101101,4466_175
4466_86741,187,4466_22009,Citywest,104431487,1,4466_7778022_101101,4466_175
4466_86723,183,4466_2201,Ticknock,104042905,1,4466_7778022_101060,4466_32
4466_86741,188,4466_22010,Citywest,104541487,1,4466_7778022_101101,4466_175
4466_86741,189,4466_22011,Citywest,104651487,1,4466_7778022_101101,4466_175
4466_86742,180,4466_23787,Liffey Valley SC,103812095,1,4466_7778022_100430,4466_181
4466_86742,181,4466_23788,Liffey Valley SC,103822095,1,4466_7778022_100430,4466_181
4466_86742,182,4466_23789,Liffey Valley SC,103932095,1,4466_7778022_100430,4466_181
4466_86724,183,4466_2379,Rockbrook,104041905,1,4466_7778022_104161,4466_36
4466_86742,183,4466_23790,Liffey Valley SC,104042095,1,4466_7778022_100430,4466_181
4466_86742,184,4466_23791,Liffey Valley SC,104152095,1,4466_7778022_100430,4466_181
4466_86742,185,4466_23792,Liffey Valley SC,104312095,1,4466_7778022_100430,4466_181
4466_86742,186,4466_23793,Liffey Valley SC,104322095,1,4466_7778022_100430,4466_181
4466_86742,187,4466_23794,Liffey Valley SC,104432095,1,4466_7778022_100430,4466_181
4466_86742,188,4466_23795,Liffey Valley SC,104542095,1,4466_7778022_100430,4466_181
4466_86742,189,4466_23796,Liffey Valley SC,104652095,1,4466_7778022_100430,4466_181
